rank_order,name,location,loc_count
3070,University of Bordeaux,France,31
3080,Brandeis University,United States of America,160
3090,Universiti Brunei Darussalam,Brunei Darussalam,1
3100,University at Buffalo,United States of America,160
3110,"University of California, Merced",United States of America,160
3120,University of Colorado Denver/Anschutz Medical Campus,United States of America,160
3130,Dalhousie University,Canada,30
3140,Drexel University,United States of America,160
3150,École Normale Supérieure de Lyon,France,31
3160,University of Essex,United Kingdom,92
3170,Flinders University,Australia,36
3180,Florida State University,United States of America,160
3190,University of Galway,Ireland,8
3200,George Mason University,United States of America,160
3210,Hasselt University,Belgium,10
3220,University of Iowa,United States of America,160
3230,Lappeenranta-Lahti University of Technology LUT,Finland,10
3240,University of Milan,Italy,54
3250,University of Milan-Bicocca,Italy,54
3260,Montpellier University,France,31
3270,Nagoya University,Japan,22
3280,Nankai University,China,64
3290,University of Otago,New Zealand,8
3300,University of Oulu,Finland,10
3310,Peter the Great St Petersburg Polytechnic University,Russia,18
3320,Politecnico di Milano,Italy,54
3330,Reykjavík University,Iceland,2
3340,RMIT University,Australia,36
3350,University of St Gallen,Switzerland,12
3360,Saint Louis University,United States of America,160
